,0
432,295790
433,282070
434,589940
435,206420
436,2221490
437,38450
438,70000
439,1335200
440,858460
441,2200
442,311560
443,400940
444,104900
445,320
446,678960
447,37420
448,1259420
449,632350
450,270170
451,290260
452,331360
453,379720
454,906100
455,254700
456,272920
457,449960
458,870780
459,2857000
460,848450
461,462930
462,243870
463,404040
464,667890
465,2824310
466,3200
467,94200
468,253790
469,274170
470,2484110
471,332200
472,1240440
473,35130
474,814200
475,372360
476,34450
477,459820
478,2471100
479,97330
480,716650
481,46510
482,255710
483,1675590
484,2320
485,383580
486,4000
487,719040
488,221020
489,223710
490,1238020
491,424840
492,18500
493,228280
494,41050
495,251110
496,221810
497,1749630
498,758730
499,765840
500,236430
501,306130
502,546560
503,80
504,98400
505,8980
506,34830
507,823550
508,17330
509,322500
510,208650
511,1700
512,428660
513,254860
514,390710
515,506140
516,261530
517,218060
518,264360
519,2888120
520,1454540
521,1594320
522,396060
523,207400
524,1077530
525,334540
526,931180
527,254020
528,493340
529,512270
530,384030
531,981590
532,13210
533,2093910
534,2679460
535,237630
536,616720
537,43160
538,301520
539,371360
540,9450
541,2716400
542,238320
543,2656540
544,236830
545,583950
546,402800
547,428800
548,341800
549,326460
550,480490
551,1891700
552,671440
553,818320
554,32150
555,788470
556,1947530
557,246280
558,24240
559,219640
560,1137180
561,224760
562,412830
563,223730
564,268910
565,312750
566,1144200
567,45000
568,264710
569,1934680
570,2290
571,434430
572,985810
573,225080
574,1222140
575,560130
576,367520
577,209330
578,203770
579,8190
580,3410
581,2060130
582,29800
583,2677660
584,291650
585,555440
586,10090
587,2114740
588,263300
589,217140
590,1677770
591,448850
592,205730
593,39140
594,214490
595,17460
596,221180
597,699170
598,1286830
599,2909110
600,33440
601,8930
602,2186680
603,273590
604,231160
605,289130
606,1072420
607,427890
608,3483
609,617290
610,12170
611,350280
612,220660
613,1022310
614,1161580
615,595520
616,2258890
617,262060
618,590380
619,920210
620,21660
621,225540
622,255520
623,867090
624,502340
625,2178590
626,374320
627,747350
628,201190
629,2495100
630,601360
631,282140
632,1510
633,418070
634,1300
635,493370
636,937310
637,57300
638,389430
639,6860
640,245070
641,21980
642,2350
643,1017900
644,278460
645,221640
646,1468260
647,1180660
648,1211630
649,461040
650,465760
651,958260
652,883710
653,741820
654,63630
655,1466860
656,641990
657,60
658,498710
659,428950
660,407230
661,861540
662,20
663,31280
664,1523
665,1369630
666,200210
667,417990
668,273620
669,240760
670,611660
671,512790
672,12240
673,300970
674,823500
675,212680
676,80310
677,410320
678,218410
679,431240
680,32390
681,312860
682,623280
683,4570
684,308420
685,1790600
686,548430
687,356190
688,207610
689,371300
690,2290180
691,802240
692,392110
693,242940
694,2131630
695,204080
696,225160
697,8850
698,62100
699,4540
700,2881650
701,22380
702,2310
703,591460
704,3241660
705,1922560
706,230980
707,1012560
708,770990
709,254040
710,1102190
711,238070
712,2131680
713,718560
714,536930
715,107410
716,63640
717,1262240
718,536960
719,421040
720,449640
721,1094710
722,1416920
723,1977530
724,207230
725,6850
726,335820
727,2141910
728,1850510
729,433700
730,382360
731,243200
732,329110
733,2552430
734,377840
735,32340
736,230230
737,1005300
738,98200
739,15100
740,1902490
741,960690
742,237990
743,413150
744,248610
745,32440
746,1333350
747,39190
748,339350
749,254130
750,94400
751,261030
752,230780
753,606510
754,227780
755,253920
756,7600
757,2064650
758,240
759,1222730
760,271590
761,47810
762,2281410
763,284770
764,1273710
765,8870
766,8380
767,1106530
768,2725560
769,22180
770,214610
771,402560
772,1500
773,200010
774,1222680
775,1167630
776,640590
777,231200
778,1253920
779,32460
780,980300
781,108710
782,200110
783,220700
784,477160
785,476600
786,414340
787,1293830
788,469990
789,348300
790,3240220
791,13230
792,2427700
793,2207490
794,552500
795,1401590
796,1888930
797,250900
798,383870
799,1682520
800,495890
801,3590
802,221100
803,27400
804,238960
805,585690
806,620980
807,605450
808,579940
809,508690
810,518580
811,304390
812,13250
813,304650
814,379430
815,386690
816,35480
817,389300
818,205060
819,718650
820,1213210
821,2457220
822,6030
823,2213300
824,304240
825,630100
826,220240
827,346110
828,9180
829,8360
830,8340
831,600980
832,311340
833,592750
834,273600
835,23120
836,6910
837,357190
838,4500
839,2960560
840,1684820
841,993790
842,205690
843,306760
844,21690
845,1770490
846,3830
847,224220
848,1966720
849,438180
850,552990
851,607080
852,546150
853,2754380
854,220200
855,235460
856,259720
857,7760
858,15540
859,204940
860,40
861,501300
862,883860
863,46500
864,658970
865,1237970
866,465240
867,17710
868,571530
869,7650
870,20510
871,22000
872,858210
873,35010
874,1492070
875,530630
876,477200
877,291550
878,1868180
879,509250
880,205230
881,2004440
882,325180
883,337850
884,2379780
885,431030
886,2513240
887,281990
888,228320
889,239350
890,223410
891,706490
892,8350
893,2358770
894,12120
895,8880
896,254060
897,973760
898,900040
899,268500
900,7940
901,1426210
902,1407200
903,343860
904,205350
905,7200
906,718850
907,227680
908,226840
909,284750
910,2515020
911,7670
912,242920
913,1898210
914,632470
915,11610
916,840260
917,1101190
918,253980
919,2358720
920,48190
921,400
922,1128920
923,16300
924,547480
925,644080
926,383080
927,452710
928,252290
929,324570
930,49600
931,1449560
932,233860
933,200170
934,489830
935,409380
936,1235140
937,654310
938,1590360
939,394160
940,420290
941,207380
942,341190
943,3980
944,457650
945,105450
946,35700
947,860510
948,471720
949,1367020
950,205930
951,247020
952,273570
953,765890
954,544810
955,200900
956,729040
957,200710
958,32380
959,1258320
960,4580
961,1811010
962,22300
963,687440
964,500810
965,283450
966,541640
967,47890
968,230190
969,1058200
970,611670
971,233450
972,423580
973,992070
974,2362420
975,2630080
976,9310
977,253030
978,224960
979,1904650
980,495110
981,1588570
982,215530
983,458370
984,400760
985,2270
986,70110
987,359320
988,250640
989,308040
990,1443820
991,585770
992,367450
993,821060
994,304430
995,728880
996,469610
997,308600
998,342190
999,1048540
1000,282100
1001,3900
1002,359870
1003,412740
1004,448510
1005,3301060
1006,12500
1007,1583230
1008,1712840
1009,1048370
1010,233550
1011,2763740
1012,323320
1013,263540
1014,63200
1015,397350
1016,1528080
1017,392680
1018,347830
1019,2292260
1020,740550
1021,266010
1022,259300
1023,475150
1024,1859360
1025,2380050
1026,271290
1027,457140
1028,1575940
1029,6020
1030,787480
1031,362300
1032,1236300
1033,1127400
1034,33230
1035,230840
1036,261640
1037,287980
1038,611500
1039,3360
1040,207040
1041,1049320
1042,63380
1043,214830
1044,2215430
1045,716490
1046,240720
1047,248190
1048,1282150
1049,368340
1050,41800
1051,215830
1052,6010
1053,578080
1054,50
1055,554870
1056,13600
1057,368370
1058,1434310
1059,401970
1060,475490
1061,524220
1062,319630
1063,823130
1064,975470
1065,235800
1066,1190460
1067,48240
1068,322290
1069,1168880
1070,637650
1071,63600
1072,697610
1073,640300
1074,292140
1075,391540
1076,933110
1077,50300
1078,925930
1079,63910
1080,582560
1081,420970
1082,694090
1083,726830
1084,1336490
1085,813630
1086,67000
1087,12250
1088,1582850
1089,493520
1090,272860
1091,2285820
1092,313340
1093,32370
1094,606730
1095,42910
1096,332070
1097,739630
1098,403400
1099,1145350
1100,236090
1101,924980
1102,363790
1103,224260
1104,312990
1105,1104380
1106,219890
1107,40700
1108,292030
1109,12210
1110,734750
1111,429790
1112,233310
1113,102600
1114,208670
1115,24780
1116,1140630
1117,946660
1118,438740
1119,814380
1120,32430
1121,616570
1122,1942280
1123,1343240
1124,233230
1125,16810
1126,1062110
1127,228380
1128,389980
1129,41070
1130,265650
1131,1964220
1132,35420
1133,63610
1134,1352930
1135,497780
1136,519860
1137,287390
1138,788100
1139,597220
1140,538110
1141,718670
1142,435150
1143,43110
1144,660330
1145,1290000
1146,1687950
1147,211420
1148,311690
1149,665090
1150,954650
1151,212200
1152,404730
1153,234900
1154,70
1155,950670
1156,33310
1157,414120
1158,764180
1159,392160
1160,322770
1161,835960
1162,1454400
1163,742120
1164,1313
1165,982290
1166,2073850
1167,254000
1168,568320
1169,1124180
1170,249590
1171,99700
1172,286690
1173,236450
1174,2103140
1175,250340
1176,209000
1177,380750
1178,690040
1179,435600
1180,601840
1181,16130
1182,262150
1183,242700
1184,33930
1185,454650
1186,288160
1187,482400
1188,363890
1189,1085660
1190,1091500
1191,1661260
1192,2068280
1193,1868140
1194,1318690
1195,1043810
1196,38400
1197,1366540
1198,201290
1199,1147690
1200,550
1201,1195290
1202,228760
1203,250460
1204,34440
1205,1196590
1206,1177980
1207,1361510
1208,344760
1209,743640
1210,535930
1211,990630
1212,250260
1213,335190
1214,1361700
1215,533970
1216,2897580
1217,528930
1218,921570
1219,17340
1220,299400
1221,587470
1222,1092790
1223,541670
1224,337000
1225,236110
1226,979110
1227,444200
1228,1458100
1229,488790
1230,416450
1231,99900
1232,441380
1233,570090
1234,1712350
1235,1194840
1236,1627720
1237,205070
1238,29180
1239,552440
1240,239140
1241,40400
1242,34330
1243,1635590
1244,38410
1245,1029550
1246,418530
1247,35460
1248,2551920
1249,377950
1250,113020
1251,1287030
1252,38720
1253,203810
1254,1172380
1255,582660
1256,2340
1257,259320
1258,1268750
1259,1005240
1260,667720
1261,1046030
1262,35140
1263,445390
1264,2738430
1265,1455840
1266,453170
1267,211400
1268,553850
1269,363970
1270,776490
1271,344670
1272,7770
1273,598980
1274,372000
1275,499520
1276,1530
1277,564710
1278,27220
1279,73010
1280,707010
1281,949230
1282,65790
1283,949050
1284,931690
1285,270130
1286,1281930
1287,251430
1288,525510
1289,2280
1290,15700
1291,848350
1292,258520
1293,895400
1294,110800
1295,291410
1296,462780
1297,397680
1298,813820
1299,205950
1300,799600
1301,233130
1302,418370
1303,1949190
1304,1097430
1305,1046930
1306,857980
1307,686200
1308,702670
1309,20500
1310,882100
1311,6060
1312,1237950
1313,303210
1314,261570
1315,392150
1316,232450
1317,3164500
1318,232790
1319,981600
1320,622980
1321,204450
1322,26500
1323,797410
1324,591370
1325,1817070
1326,26000
1327,1295270
1328,213670
1329,1269260
1330,2306740
1331,442070
1332,235620
1333,1659420
1334,335240
1335,209950
1336,629910
1337,245550
1338,476620
1339,466660
1340,406970
1341,238460
1342,273580
1343,2067590
1344,12140
1345,4550
1346,3970
1347,1229490
1348,264240
1349,3027930
1350,112100
1351,107600
1352,244430
1353,677620
1354,8400
1355,236850
1356,503580
1357,41700
1358,3960
1359,223470
1360,412020
1361,398000
1362,226960
1363,451780
1364,646570
1365,224580
1366,261550
1367,63620
1368,466040
1369,218680
1370,2600
1371,2923300
1372,9070
1373,671860
1374,2300
1375,205100
1376,282800
1377,935870
1378,3170
1379,438100
1380,223850
1381,489520
1382,219780
1383,383150
1384,560380
1385,425240
1386,1217390
1387,526870
1388,6000
1389,349720
1390,496810
1391,17300
1392,15520
1393,2962300
1394,494810
1395,204360
1396,219680
1397,105800
1398,945360
1399,955900
1400,38740
1401,41500
1402,2701660
1403,226620
1404,393380
1405,1206430
1406,1980530
1407,417860
1408,250180
1409,2407270
1410,1062090
1411,294100
1412,22320
1413,8370
1414,39150
1415,1026680
1416,774361
1417,410850
1418,203140
1419,315830
1420,1070150
1421,739540
1422,23500
1423,860890
1424,834910
1425,7510
1426,9200
1427,588650
1428,2390
1429,504210
1430,435400
1431,223510
1432,300570
1433,809140
1434,108800
1435,218130
1436,579720
1437,559330
1438,243360
1439,91310
1440,208200
1441,1295660
1442,247750
1443,61700
1444,7660
1445,563470
1446,691160
1447,376240
1448,6900
1449,313740
1450,631570
1451,1809540
1452,1244460
1453,648800
1454,2012840
1455,286160
1456,2422090
1457,295550
1458,365430
1459,1670230
1460,704040
1461,257350
1462,1145360
1463,70400
1464,1811990
1465,40370
1466,1716740
1467,11020
1468,1057090
1469,218620
1470,13240
1471,12200
1472,1709920
1473,638970
1474,2360
1475,12100
1476,434170
1477,360
1478,578650
1479,257690
1480,456740
1481,520120
1482,13200
1483,310950
1484,1600780
1485,351030
1486,553420
1487,35450
1488,362930
1489,1930
1490,55230
1491,2414190
1492,405310
1493,19900
1494,49520
1495,1584810
1496,1504980
1497,1888160
1498,1309
1499,1279580
1500,7610
1501,1016800
1502,541660
1503,380670
1504,564310
1505,99200
1506,3540
1507,109400
1508,292120
1509,241600
1510,272270
1511,805150
1512,512900
1513,287700
1514,382890
1515,292480
1516,2330
1517,1180320
1518,39210
1519,23310
1520,265890
1521,2962810
1522,368720
1523,460950
1524,346850
1525,399430
1526,683320
1527,411300
1528,1659600
1529,824600
1530,252130
1531,703980
1532,235210
1533,321480
1534,644830
1535,1133760
1536,892970
1537,946050
1538,648350
1539,12110
1540,774941
1541,418650
1542,456180
1543,714010
1544,41210
1545,1658620
1546,322210
1547,200260
1548,373420
1549,333640
1550,453480
1551,291860
1552,261940
1553,317470
1554,335300
1555,627690
1556,2525380
1557,582010
1558,1049590
1559,296490
1560,388210
1561,251990
1562,1635600
1563,41060
1564,692850
1565,1422450
1566,1113560
1567,415420
1568,1643320
1569,373650
1570,1158310
1571,3217600
1572,921590
1573,24980
1574,500750
1575,816340
1576,450630
1577,57400
1578,380220
1579,104600
1580,316790
1581,737800
1582,1295510
1583,27020
1584,48700
1585,990080
1586,913740
1587,7730
1588,283270
1589,6920
1590,1778210
1591,819970
1592,38700
1593,571310
1594,1642620
1595,2782610
1596,765910
1597,971160
1598,2370
1599,2131640
1600,63700
1601,3990
1602,113200
1603,1213700
1604,35000
1605,92800
1606,735850
1607,32360
1608,391260
1609,2478970
1610,753640
1611,500
1612,439700
1613,239200
1614,1174180
1615,1016120
1616,12900
1617,343730
1618,17410
1619,408340
1620,403640
1621,15500
1622,20920
1623,225260
1624,91600
1625,370360
1626,210970
1627,1522870
1628,551370
1629,211500
1630,201420
1631,243970
1632,572540
1633,716500
1634,436890
1635,348250
